nomor_bupot;Masa_Pajak;Kode_objek_pajak;DPP;Pajak_Penghasilan;NPWP_Pemotong;Nama_Pemotong;Tanggal_bupot;tanggal_dokumen
2501066SC;03-2025;22-910-01;41621622;624324;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;26 Maret 2025;16 April 2025
2501FD5T0;03-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;13 Maret 2025;13 Maret 2025
2501G7S4U;03-2025;24-104-29;945000;18900;0001434281512000;SATUAN POLISI PAMONG PRAJA PROVINSI JAWA TENGAH;27 Maret 2025;27 Maret 2025
2501JATH6;03-2025;24-104-29;23508108;470162;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;25 Maret 2025;25 Maret 2025
2501JATHD;03-2025;24-104-24;2387387;47748;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;25 Maret 2025;25 Maret 2025
2501L935W;03-2025;24-100-02;810811;16216;0952551711518000;RSJD. DR. AMINO GONDOHUTOMO PROVINSI JAWA TENGAH;21 Maret 2025;21 Maret 2025
25025NAO3;04-2025;24-100-02;810811;16216;0952551711518000;RSJD. DR. AMINO GONDOHUTOMO PROVINSI JAWA TENGAH;14 Maret 2025;14 April 2025
2502PZIDG;05-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;26 Mei 2025;26 Mei 2025
2502EXGEN;05-2025;24-104-29;1792793;35856;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;22 April 2025;05 Mei 2025
2502EXGDQ;05-2025;24-104-29;382883;7658;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;22 April 2025;05 Mei 2025
2502FDBQF;06-2025;24-104-29;17112613;342252;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;28 Mei 2025;10 Juni 2025
2502FEB9R;06-2025;24-104-29;19169369;383387;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;28 Mei 2025;10 Juni 2025
2502FRYIR;06-2025;24-104-29;2702703;54054;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;28 Mei 2025;10 Juni 2025
2502FWPXT;06-2025;24-104-29;6288288;125766;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;28 Mei 2025;10 Juni 2025
2502ALC3U;06-2025;22-910-01;84684685;1270270;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;04 Juni 2025;11 Juni 2025
25035B61E;06-2025;24-104-65;1891892;37838;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;02 Juni 2025;11 Juni 2025
25035B61X;06-2025;24-104-65;750000;15000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;22 Mei 2025;11 Juni 2025
25035B61N;06-2025;24-104-65;5045045;100901;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;02 Juni 2025;11 Juni 2025
25035B63U;06-2025;22-910-01;10270270;154054;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;05 Juni 2025;19 Juni 2025
25035B682;06-2025;24-104-65;850000;17000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;25 Juni 2025;25 Juni 2025
25035B681;06-2025;22-910-01;4902703;73541;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;25 Juni 2025;25 Juni 2025
25035B6BC;06-2025;24-104-65;1400000;28000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;30 Juni 2025;30 Juni 2025
2503D37NC;06-2025;24-100-02;810811;16216;0952551711518000;RSJD. DR. AMINO GONDOHUTOMO PROVINSI JAWA TENGAH;12 Juni 2025;12 Juni 2025
2503DF34T;07-2025;24-104-24;3243243;64865;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;04 Juli 2025;04 Juli 2025
2503DF3QQ;07-2025;24-104-29;20074775;401496;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;04 Juli 2025;04 Juli 2025
2503E8JZ1;06-2025;24-104-65;8918919;178378;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;26 Juni 2025;26 Juni 2025
2503E8K1U;06-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;16 Juni 2025;16 Juni 2025
2503I4542;07-2025;24-104-28;38646850;772937;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;17 Juli 2025;17 Juli 2025
2503IKX0R;03-2025;24-104-29;9009009;180180;0002841021512000;DINAS PENDIDIKAN DAN KEBUDAYAAN PROVINSI JAWA TENGAH;26 Maret 2025;09 April 2025
2503SHTVB;07-2025;24-100-02;800000;16000;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;11 Juli 2025;31 Juli 2025
2503SWD8I;07-2025;24-104-29;4907207;98144;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;28 Juli 2025;28 Juli 2025
2503TJC1U;06-2025;22-910-01;2927928;43919;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;20 Juni 2025;07 Agustus 2025
2503TJC1M;06-2025;22-910-01;6036036;90540;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;20 Juni 2025;07 Agustus 2025
2503TSRDP;08-2025;24-104-28;18018018;360360;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;06 Agustus 2025;06 Agustus 2025
2503ZML79;07-2025;24-100-02;810811;16216;0952551711518000;RSJD. DR. AMINO GONDOHUTOMO PROVINSI JAWA TENGAH;18 Juli 2025;18 Juli 2025
25048G9MF;07-2025;22-910-01;5300000;79500;0002874394517000;KECAMATAN GAJAHMUNGKUR KOTA SEMARANG;07 Juli 2025;18 Agustus 2025
25049XNS7;07-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;17 Juli 2025;17 Juli 2025
2504C1923;06-2025;22-910-01;70720720;1060811;0002973782514000;DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU KABUPATEN;19 Juni 2025;24 Agustus 2025
25050JOV2;08-2025;24-104-65;4054054;81081;0001380575512000;SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH KOTA SEMARANG;29 Agustus 2025;29 Agustus 2025
25051BF0I;08-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;19 Agustus 2025;19 Agustus 2025
2505YD9A1;07-2025;22-900-01;72600000;1089000;0001205418506000;SEKRETARIAT DEWAN PERWAKILAN RAKYAT DAERAH KABUPATEN KUDUS;04 Juli 2025;30 Oktober 2025
2505WBLP2;10-2025;24-104-29;31310811;626216;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;13 Oktober 2025;24 Oktober 2025
2505CTSN2;09-2025;24-104-65;3364865;67297;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;23 September 2025;23 September 2025
250293B9M;04-2025;24-104-65;400000;8000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;24 April 2025;29 April 2025
250293BXV;04-2025;24-104-65;1710000;34200;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;24 Maret 2025;10 April 2025
2505CM8UY;09-2025;24-100-02;440000;8800;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;11 September 2025;30 September 2025
2503GK5IG;07-2025;22-910-01;4891892;73378;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 Juli 2025;03 Juli 2025
2505WC7TT;10-2025;24-104-29;13027027;260541;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;13 Oktober 2025;24 Oktober 2025
25053SM5L;09-2025;22-900-01;19050000;285750;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;23 September 2025;24 September 2025
2505CTSN1;09-2025;24-104-65;1700000;34000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;23 September 2025;23 September 2025
250516RHZ;09-2025;24-104-29;11009009;220180;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 September 2025;19 September 2025
25059ZG1B;09-2025;22-900-01;168025000;2520375;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;04 September 2025;04 September 2025
2501FGV18;03-2025;24-104-65;400000;8000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;06 Maret 2025;13 Maret 2025
2505177TD;09-2025;24-104-29;5225225;104505;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;03 September 2025;19 September 2025
2501FGULR;03-2025;24-104-65;345000;6900;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;06 Maret 2025;24 Maret 2025
2501FGV10;03-2025;24-104-65;1680000;33600;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;06 Maret 2025;13 Maret 2025
2505CLH8W;09-2025;24-100-02;3017000;60340;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;01 September 2025;30 September 2025
2505CTSN8;09-2025;22-910-01;2567568;38514;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;23 September 2025;23 September 2025
25057ABY3;09-2025;24-104-10;14189189;283784;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;24 September 2025;24 September 2025
2504MM627;08-2025;24-104-65;2027027;40541;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 September 2025;03 September 2025
2504JTK1Q;08-2025;24-100-02;440000;8800;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;23 Agustus 2025;31 Agustus 2025
250293B9N;04-2025;24-104-65;675000;13500;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;28 April 2025;29 April 2025
2504QZ04O;09-2025;24-104-24;4189189;83784;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;10 September 2025;10 September 2025
2504MM62T;08-2025;24-104-65;4243243;84865;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 September 2025;03 September 2025
2504MM4IB;07-2025;24-104-65;1250000;25000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;24 Juli 2025;29 Juli 2025
2505ST8GU;09-2025;22-910-01;18550000;278250;0002874394517000;KECAMATAN GAJAHMUNGKUR KOTA SEMARANG;25 September 2025;19 Oktober 2025
2505WCERR;10-2025;24-104-29;5427928;108559;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;13 Oktober 2025;24 Oktober 2025
2501FGUJ2;03-2025;24-104-65;6747747;134955;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;20 Maret 2025;25 Maret 2025
250293BAN;04-2025;24-104-65;850000;17000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;09 April 2025;24 April 2025
2501FGUHT;03-2025;22-910-01;1905405;28581;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;24 Maret 2025;26 Maret 2025
2505CTRAW;09-2025;22-910-01;1891892;28378;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;25 September 2025;01 Oktober 2025
2501FGUM2;03-2025;22-910-01;5716216;85743;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;06 Maret 2025;24 Maret 2025
