nomor_bupot;Masa_Pajak;Kode_objek_pajak;DPP;Pajak_Penghasilan;NPWP_Pemotong;Nama_Pemotong;Tanggal_bupot;tanggal_dokumen
2505CTSN9;09-2025;22-910-01;3648648;54730;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;23 September 2025;23 September 2025
25061SXBD;11-2025;22-910-01;22412500;336188;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;18 Oktober 2025;04 November 2025
250644H4C;10-2025;24-100-02;3861200;77224;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;08 Oktober 2025;31 Oktober 2025
250644KIG;10-2025;24-100-02;800000;16000;0018694695055000;SEMARANG AUTOCOMP MANUFACTURING INDONESIA;08 Oktober 2025;31 Oktober 2025
25069Z4XM;11-2025;22-910-01;6126126;91892;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;27 Oktober 2025;11 November 2025
2506AKLR1;11-2025;22-910-01;5765766;86486;0002989390508000;DINAS KESEHATAN KOTA SEMARANG;11 November 2025;11 November 2025
2506C54TD;10-2025;24-100-02;400000;8000;0636611071505000;ARTIVERSE APPAREL SEMARANG;08 September 2025;31 Oktober 2025
2506C54TE;10-2025;24-100-02;650000;13000;0636611071505000;ARTIVERSE APPAREL SEMARANG;08 September 2025;31 Oktober 2025
2506H3RGO;11-2025;22-910-01;48550000;728250;0002989473512000;DINAS KOMUNIKASI, INFORMATIKA, STATISTIK, DAN PERSANDIAN KOTA SEMARANG;13 November 2025;14 November 2025
2506K0MLH;10-2025;24-104-65;210000;4200;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;03 November 2025;03 November 2025
2506K0MXF;10-2025;24-104-65;7126126;142523;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;28 Oktober 2025;30 Oktober 2025
2506K0MYH;10-2025;24-104-65;1600000;32000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;30 Oktober 2025;30 Oktober 2025
2506K0MYF;10-2025;24-104-65;2554054;51081;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;28 Oktober 2025;30 Oktober 2025
2506K0MYT;10-2025;22-910-01;9459459;141892;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;28 Oktober 2025;30 Oktober 2025
2506K0MXR;10-2025;24-104-65;2554054;51081;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;28 Oktober 2025;30 Oktober 2025
2506K0N4J;10-2025;24-104-65;810000;16200;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;30 Oktober 2025;30 Oktober 2025
2506K0N5C;10-2025;24-104-65;2207207;44144;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;29 Oktober 2025;30 Oktober 2025
2506K0N58;10-2025;24-104-65;1500000;30000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;16 Oktober 2025;30 Oktober 2025
2506K0PGZ;10-2025;24-104-65;650000;13000;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;01 Oktober 2025;01 Oktober 2025
2506K0PK0;10-2025;24-104-65;1848000;36960;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;01 Oktober 2025;01 Oktober 2025
2506KA9XI;11-2025;22-910-01;154027020;2310405;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;12 November 2025;17 November 2025
2506KA9XI;11-2025;22-910-01;187135125;2807027;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;12 November 2025;17 November 2025
2506NQ87A;10-2025;24-104-65;1985000;39700;0001434372504000;BADAN PENGELOLA PENDAPATAN DAERAH PROVINSI JAWA TENGAH;23 Oktober 2025;30 Oktober 2025
2506NWHNS;10-2025;24-104-65;11784000;235680;0001204288504000;DINAS PERDAGANGAN KOTA SEMARANG;28 Oktober 2025;03 November 2025
2506OD3NB;11-2025;22-910-01;45000000;675000;0002989515512000;BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH KOTA SEMARANG;19 November 2025;20 November 2025
2506RWJ7B;11-2025;24-104-29;8513514;170270;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;18 November 2025;18 November 2025
2506RWKU1;11-2025;24-104-29;13963964;279279;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;19 November 2025;19 November 2025
2506S1GH3;11-2025;22-910-01;4335135;65027;0959157934512000;BADAN PENDAPATAN DAERAH KOTA SEMARANG;27 November 2025;27 November 2025
2506UPEJ6;11-2025;24-104-10;28378378;567568;0623063807503000;UNIVERSITAS NEGERI SEMARANG - PTNBH;17 November 2025;02 Desember 2025
2506VHKKB;11-2025;24-104-29;2454955;49099;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;27 November 2025;27 November 2025
2506VHKKH;11-2025;22-900-01;2252252;33784;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;26 November 2025;26 November 2025
2506VHKKJ;11-2025;24-104-29;2718018;54360;0002989432512000;DINAS TENAGA KERJA KOTA SEMARANG;27 November 2025;27 November 2025
2506W8B1C;11-2025;22-910-01;252252;3784;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;28 November 2025;01 Desember 2025
2506W8B8V;11-2025;22-910-01;1576577;23649;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;28 November 2025;01 Desember 2025
2506W8BJ7;11-2025;22-910-01;4826126;72392;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;21 November 2025;25 November 2025
2506W8BVE;11-2025;22-910-01;2235923;33539;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;19 November 2025;20 November 2025
2506W8BVT;11-2025;22-910-01;2844970;42675;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;19 November 2025;20 November 2025
2506W8BU1;11-2025;22-910-01;2064565;30968;0001204262512000;DINAS KEBUDAYAAN DAN PARIWISATA KOTA SEMARANG;19 November 2025;20 November 2025
